EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
132,TJ,Olson,TJOLSON,650.124.8234,10-04-2007,ST_CLERK,2100,0,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,14-06-2004,ST_CLERK,3300,0,122,50
134,Michael,Rogers,MROGERS,650.127.1834,26-08-2006,ST_CLERK,2900,0,122,50
135,Ki,Gee,KIGEE,650.127.1734,12-12-2007,ST_CLERK,2400,0,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-02-2008,ST_CLERK,2200,0,122,50
137,Renske,Ladwig,RLADWIG,518.555.0100,14-07-2003,SA_MAN,14400,0,100,80
138,Stephen,Stiles,SSTILES,650.121.9240,26-10-2005,SA_MAN,14600,0,100,80
139,John,Seo,JSEO,650.121.2019,12-02-2006,SA_MAN,8600,0,100,80
140,Joshua,Patel,JPATEL,650.121.1834,06-04-2006,SA_MAN,9600,0,100,80
141,Trenna,Rajs,TRAJS,650.121.2014,17-10-2003,SA_MAN,10500,0,100,80
142,Curtis,Davies,CDAVIES,650.121.2994,29-01-2005,SA_REP,11000,0.15,123,80
143,Randall,Matos,RMATOS,650.121.2874,15-03-2006,SA_REP,9500,0.15,123,80
144,Peter,Vargas,PVARGAS,650.121.2004,09-07-2006,SA_REP,9500,0.1,123,80
145,John,Russell,JRUSSEL,650.121.2016,01-10-2004,SA_REP,14000,0.15,123,80
146,Karen,Partners,KPARTNER,650.121.2022,05-01-2005,SA_REP,13500,0.1,123,80
147,Alberto,Errazuriz,AERRAZUR,650.121.2005,10-03-2005,SA_REP,12000,0.1,123,80
148,Gerald,Cambrault,GCAMBRAU,650.121.2015,15-10-2007,SA_REP,11000,0.1,123,80
149,Eleni,Zlotkey,EZLOTKEY,650.121.2017,29-01-2008,SA_REP,10500,0.15,123,80
150,Peter,Tucker,PTUCKER,650.121.2034,30-01-2005,SA_REP,10000,0.15,123,80
151,David,Bernstein,DBERNSTE,650.121.2012,24-03-2005,SA_REP,9500,0.1,123,80
152,Peter,Hall,PHALL,650.121.2013,20-08-2005,SA_REP,9000,0.1,123,80
153,Christopher,Olsen,COLSEN,650.121.2035,30-03-2006,SA_REP,8000,0.1,123,80
154,Nanette,Cambrault,NCAMBRAU,650.121.2028,09-12-2007,SA_REP,7500,0.15,123,80
155,Olivier,Tuvault,OTUVAULT,650.121.2029,23-11-2007,SA_REP,7000,0.15,123,80
156,Janette,King,JKING,650.121.1835,30-01-2004,SA_REP,10000,0.1,123,80
157,Patrick,Sully,PSULLY,650.121.2002,04-03-2005,SA_REP,9500,0.1,123,80
158,Allan,McEwen,AMCEWEN,650.121.2016,01-08-2006,SA_REP,9000,0.1,123,80
159,Lindsey,Smith,LSMITH,650.121.2019,10-03-2007,SA_REP,8000,0.1,123,80
160,Louis,Sciarra,LSCIARRA,650.121.2038,11-10-2007,SA_REP,7700,0.1,123,80
161,Sarath,Sewall,SSEWALL,650.121.1834,03-11-2006,SA_REP,7000,0.1,123,80
162,Clara,Vishney,CVISHNEY,650.121.2017,11-11-2005,SA_REP,10500,0.1,123,80
163,Danielle,Greene,DGREENE,650.121.2018,19-03-2007,SA_REP,9500,0.1,123,80
164,Mattea,Marvins,MMARVINS,650.121.1834,24-01-2006,SA_REP,7200,0.1,123,80
165,David,Lee,DLEE,650.121.2030,23-02-2008,SA_REP,6800,0.1,123,80
166,Sundar,Ande,SANDE,650.121.1834,24-03-2008,SA_REP,6400,0.1,123,80
167,Amit,Banda,ABANDA,650.121.1834,21-04-2008,SA_REP,6200,0.1,123,80
168,Lisa,Ozer,LOZER,650.121.1834,11-03-2005,SA_REP,11500,0.25,147,80
169,Harrison,Bloom,HBLOOM,650.121.1874,23-03-2006,SA_REP,10000,0.2,147,80
170,Tayler,Fox,TFOX,650.121.1874,24-01-2006,SA_REP,9600,0.2,147,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-03-2007,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-04-2008,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,11-05-2004,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-03-2005,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-03-2006,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-04-2006,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-05-2007,SA_REP,7000,0.15,149,0
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-01-2008,SA_REP,6200,0.1,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,24-01-2006,SH_CLERK,3200,0,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-02-2006,SH_CLERK,3100,0,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-06-2007,SH_CLERK,2500,0,120,50
183,Girard,Geoni,GGEONI,650.507.9879,03-02-2008,SH_CLERK,2800,0,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,27-01-2004,SH_CLERK,4200,0,121,50
185,Alexis,Bull,ABULL,650.509.2876,20-02-2005,SH_CLERK,4100,0,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,24-06-2006,SH_CLERK,3400,0,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,07-02-2007,SH_CLERK,3000,0,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,14-06-2005,SH_CLERK,3800,0,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,13-08-2005,SH_CLERK,3600,0,122,50
190,Timothy,Gates,TGATES,650.505.3876,11-07-2006,SH_CLERK,2900,0,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,19-12-2007,SH_CLERK,2500,0,122,50
192,Sarah,Bell,SBELL,650.501.1876,04-02-2004,SH_CLERK,4000,0,123,50
193,Britney,Everett,BEVERETT,650.501.2876,03-03-2005,SH_CLERK,3900,0,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,01-07-2006,SH_CLERK,3200,0,123,50
195,Vance,Jones,VJONES,650.501.4876,17-03-2007,SH_CLERK,2800,0,123,50
196,Alana,Walsh,AWALSH,650.507.9811,24-04-2006,SH_CLERK,3100,0,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,23-05-2006,SH_CLERK,3000,0,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,21-06-2007,SH_CLERK,2600,0,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-01-2008,SH_CLERK,2600,0,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-09-2003,AD_ASST,4400,0,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-02-2004,MK_MAN,13000,0,100,20
202,Pat,Fay,PFAY,603.123.6666,17-08-2005,MK_REP,6000,0,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-06-2002,HR_REP,6500,0,101,40
204,Hermann,Baer,HBAER,515.123.8888,07-06-2002,PR_REP,10000,0,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-06-2002,AC_MGR,12008,0,101,110
206,William,Gietz,WGIETZ,515.123.8181,07-06-2002,AC_ACCOUNT,8300,0,205,110
